Ticker,Name,Series Type,Currency,Country,Sector,Industry,Sic,Exchange,Cik,Fiscal_End,Units,Scale,Flow,Adjustment,Periodicity,Metadata,Corporate_History
CMNISD,Nickel Spot Price (US Dollars/Ton),Commodity Prices,United States Dollar,United States,,,,,,,National Currency,Units,Stock,none,Annual From Dec 1900 To Sep 1926<BR>Monthly From Oct 1926 To Dec 1987<BR>Daily From Dec 1987 To Sep 2020<BR>,"Sources: Until 1980, data are for the INCO price, c.i.f. Far East and American ports from the Metal Bulletin in US cents per pound.  From 1980 on, data are from the London Metal Exchange, melting grade, spot, c.i.f. North European Ports from 1980. <br /><br />Notes: Prices before 1980 were converted using a short ton of 2000 pounds.",
Date,Ticker,Open,High,Low,Close,Period_Average,Close_Percent_Change,Period_Change,Annual_Percent_Change
08/11/2008,CMNISD,,,,17920,17920,-0.00857538035961273,-155,-32.03110183956
08/12/2008,CMNISD,,,,17634,17634,-0.0159598214285714,-286,-33.1158733168974
08/13/2008,CMNISD,,,,19500,19500,0.105818305546104,1866,-25.5838803236147
08/14/2008,CMNISD,,,,19090,19090,-0.021025641025641,-410,-31.3309352517986
08/15/2008,CMNISD,,,,18669,18669,-0.0220534311157674,-421,-29.5748613678373
08/18/2008,CMNISD,,,,18100,18100,-0.0304783330655097,-569,-29.0168241891839
08/19/2008,CMNISD,,,,19327,19327,0.0677900552486188,1227,-24.2048707792462
08/20/2008,CMNISD,,,,19865,19865,0.0278367051275418,538,-23.9762724837352
08/21/2008,CMNISD,,,,21465,21465,0.0805436697709539,1600,-17.9158699808795
08/22/2008,CMNISD,,,,20815,20815,-0.0302818541812253,-650,-25.0962611105114
08/26/2008,CMNISD,,,,20195,20195,-0.0297862118664425,-620,-26.4834364761558
08/27/2008,CMNISD,,,,20925,20925,0.0361475612775439,730,-23.8259919912632
08/28/2008,CMNISD,,,,20430,20430,-0.0236559139784946,-495,-25.4107338444688
08/29/2008,CMNISD,,,,20277,20277,-0.00748898678414097,-153,-25.3863703267589
09/01/2008,CMNISD,,,,20125,20125,-0.00749617793559205,-152,-33.4710743801653
09/02/2008,CMNISD,,,,19367,19367,-0.0376645962732919,-758,-35.9768595041322
09/03/2008,CMNISD,,,,19510,19510,0.00738369391232509,143,-33.6507396701241
09/04/2008,CMNISD,,,,19573,19573,0.00322911327524346,63,-32.9691780821918
09/05/2008,CMNISD,,,,18558,18558,-0.0518571501558269,-1015,-33.0567780102446
09/08/2008,CMNISD,,,,18782,18782,0.0120702661924776,224,-31.2140633583593
09/09/2008,CMNISD,,,,18625,18625,-0.00835906719199233,-157,-31.7890496246109
09/10/2008,CMNISD,,,,18431,18431,-0.0104161073825503,-194,-29.99734133465
09/11/2008,CMNISD,,,,18423,18423,-0.000434051326569367,-8,-32.2683823529412
09/12/2008,CMNISD,,,,18923,18923,0.0271399880584053,500,-29.9770574304322
09/15/2008,CMNISD,,,,17894,17894,-0.0543782698303652,-1029,-36.0882920208586
09/16/2008,CMNISD,,,,17275,17275,-0.0345926008718006,-619,-38.2991642260161
09/17/2008,CMNISD,,,,16870,16870,-0.0234442836468886,-405,-40.7446434843695
09/18/2008,CMNISD,,,,16555,16555,-0.0186721991701245,-315,-45.6946039035591
09/19/2008,CMNISD,,,,16214,16214,-0.0205980066445183,-341,-51.6577221228384
09/22/2008,CMNISD,,,,17105,17105,0.0549525101763908,891,-47.5387210550529
09/23/2008,CMNISD,,,,16507,16507,-0.0349605378544285,-598,-49.3727955834995
09/24/2008,CMNISD,,,,16993,16993,0.029442054885806,486,-47.9604336375329
09/25/2008,CMNISD,,,,16870,16870,-0.00723827458365209,-123,-48.0970987293481
09/26/2008,CMNISD,,,,16775,16775,-0.00563129816241849,-95,-48.7926981898104
09/29/2008,CMNISD,,,,16165,16165,-0.0363636363636364,-610,-47.9371316306483
09/30/2008,CMNISD,,,,15752,15752,-0.0255490256727498,-413,-49.2672871912139
10/01/2008,CMNISD,,,,15974,15974,0.0140934484509904,222,-46.4031673600859
