Ticker,Name,Series Type,Currency,Country,Sector,Industry,Sic,Exchange,Cik,Fiscal_End,Units,Scale,Flow,Adjustment,Periodicity,Metadata,Corporate_History,Data Notes
2006/03/31,19272.5996,5087.2002,9404.8896,701.96,11854.2998,8023.2998,2339.79,1294.83,15805,5964.6001,3047.96,81682.7969,11280,9930.9805,8066.1001,1838.95,926.63,4139.8301,1500.09,835.78,468.69,3402.55,5904.1699,23336.5996,12037.9004,1359.6,42911.3008,4122.3398,6613.9702,733.25,1298.3,328.62,1553.6899,1322.974,1077.88,5220.8501,495.22,1703.66,864.7149782,5129.7002,3776.51,382.9,452.29,20351.6992,1299.1899,4096.7998,754.75,1342.93,17060.3008,5220.8501
2006/04/30,20646.1992,5207,9472.3301,705.22,11892.5,8047.29,2322.57,1310.61,16661.3008,6023.1001,3074.26,90025.8984,12042.5996,10005.9004,7930.9902,1844.87,949.23,4174.1201,1510.64,884.28,469.4,3557.6001,6251.3901,23301.1992,12070,1419.73,43880.3984,4139.96,7171.77,768.29,1440.22,335.95,1526.41,1464.41,1102.34,5188.3999,498.44,1700.71,902.8320828,5258.7998,3860.3501,375.79,469.57,21135.5,1486.85,4104.5498,757.84,1373.38,13043.4004,5188.3999
2006/05/31,18677.9004,4972.2998,8770.9102,660.44,11340.5,7604.3999,2178.8799,1270.09,15857.9004,5723.7998,2916.8501,78251.3984,10398.5996,9922.5498,7605.8599,1733.51,927.78,3743.23,1383.79,868.87,440.41,3071.05,5385.21,24745.6992,11383.5996,1317.7,38132.1992,3753.21,6846.9502,709.43,1641.3,309.77,1408.3101,1330,1041.14,4930.1802,470.63,1579.58,877.784317,5001.7002,3846.5901,354.47,438.83,20565.5,1281.5,3830.3,726.93,1322.25,11201.5,4930.1802
2006/06/30,19147.1992,5034,8617.9697,650.82,11548.0996,7652.1001,2172.0901,1270.2,16267.5996,5833.3999,2967.5801,82167.3984,10609.2002,9895.0703,7516.2798,1744.09,914.69,3745.72,1387.21,793.57,440.25,3128.2,5382.1099,26161.1992,11449.9004,1295.15,35453.3008,3693.75,6704.4102,678.13,1672.21,307.64,1401.95,1310.26,1025.89,4965.96,472.95,1575.23,809.1216834,5073.8999,3931.5901,349.61,433.06,21237.9004,1331.39,3815.6299,722.6,1319.93,13145.2998,4965.96
2006/07/31,20095.9004,4957.1001,8584.7803,681.25,11818,7941.8301,2091.47,1276.66,16971.3008,5928.2998,3004.28,82826.5,10743.9004,9928.29,7507.1802,1760.8101,935.85,3716,1397.52,815.47,454.06,3143.2,5422.3901,27880.5,11745.5,1297.8199,36067.8984,3747.98,6454.5801,691.49,1612.73,313.79,1368.23,1351.65,1026.29,5009.4199,489.86,1509.4301,816.0559937,4986,3822.27,351.38,440.62,20885.5996,1380.24,3814.74,738.05,1327.23,10848,5009.4199
2006/08/31,21049.3008,5079.7998,8899.8701,695.32,12144.7002,8167.96,2183.75,1303.8199,17392.3008,5906.1001,3007.51,81076.8984,11699,10297.9004,8045.0498,1822.12,958.12,3735.6399,1417.15,820,469.01,3413.8999,5933.77,33096.3984,12059.2998,1352.74,37285.8984,3868.6201,6611.77,690.9,1658.64,313.37,1427.22,1431.26,1003,5165.04,504.21,1579.73,825.4097519,5115.3999,3843.6599,367.98,439.78,21953.8008,1448.72,3933.97,754.39,1358.87,11111.9004,5165.04
2006/09/30,21937.0996,5113,8856.3896,712.97,12934.7002,8425.9102,2258.4299,1335.85,17543,5960.7998,3050.4399,80581.3984,12454.4004,10678.2002,8223.8398,1844.99,967.55,3868.27,1471.21,846.09,483.62,3588.3999,6328.3301,32554.5996,12516.4004,1371.41,36924.8984,3931.05,6883.0498,686.1,1752.42,301.96,1423.46,1534.62,1025.33,5250.0098,520.6,1654.13,839.3647814,5154.1001,3911.21,380.73,426.27,22374.5996,1367.24,4031.1599,744.38,1373.37,11410,5250.0098
2006/10/31,23047,5352.8999,9198.0596,732.05,13753,8569.7197,2366.71,1377.9399,18324.3008,6129.2002,3140.47,87048.1016,12961.9004,11069.5,8621.3301,1903.6801,988.3,4098.2798,1551.37,914.13,486.57,3744.1001,6603.6001,32643.6992,12743.2998,1364.55,40582.1992,4128.6001,7021.3198,722.46,1837.99,329.22,1419.02,1582.63,1071.03,5348.73,531.12,1732.54,895.6169437,5384.3999,4088,396.08,461.62,23338.1992,1426.86,4208.7998,777.83,1422.93,9717.8896,5348.73
2006/11/30,24962,5461.6001,9248.0303,720.64,13849.2998,8484.5703,2431.77,1400.63,18960.5,6048.7998,3119.8501,97394.5,13696.2998,11705.4004,8694.3301,1954.33,1080.66,4093.26,1547.02,936.13,477.67,3954.5,6931.0498,31632.5,12789.4004,1432.21,38168.5,4220.5,7567.7202,739.06,2099.29,337.47,1399.98,1718.96,1096.22,5327.6401,528.21,1791.25,919.4333833,5482.1001,4125.48,405.573,473.56,23950,1550.58,4235.8398,809.83,1455.17,8324.4297,5327.6401
2006/12/31,26448.3008,5644.2998,9625.3701,748.77,14146.5,8785.7402,2415.29,1418.3,19964.6992,6220.7998,3221.4199,103164,13786.9004,12373.7002,9408.1201,1997.16,1096.24,4463.4702,1676.7,921.69,495.34,3966.3999,6982.5601,33189.3008,13489.4004,1434.46,39117.5,4394.1299,7823.7202,679.84,2675.47,361.14,1468.09,1805.523,1150.02,5541.7598,549.25,1756.9,902.7024695,5669.8999,4120.96,423.43,502.38,24915.1992,1693.47,4429.0098,821.36,1483.58,7933.29,5541.7598
